class,f1_score,precision,recall,support
1,0.857,0.862,0.853,1200.0
2,0.838,0.841,0.836,1200.0
3,0.97,0.96,0.98,1200.0
4,0.88,0.882,0.878,1200.0
class,f1_score,precision,recall,support
1,0.853,0.869,0.837,1200.0
2,0.836,0.848,0.823,1200.0
3,0.967,0.95,0.985,1200.0
4,0.866,0.854,0.879,1200.0
class,f1_score,precision,recall,support
1,0.858,0.86,0.855,1200.0
2,0.85,0.861,0.838,1200.0
3,0.97,0.957,0.983,1200.0
4,0.872,0.869,0.874,1200.0
class,f1_score,precision,recall,support
1,0.844,0.857,0.833,1200.0
2,0.836,0.833,0.839,1200.0
3,0.969,0.964,0.974,1200.0
4,0.875,0.87,0.879,1200.0
class,f1_score,precision,recall,support
1,0.845,0.853,0.838,1200.0
2,0.828,0.835,0.821,1200.0
3,0.964,0.945,0.984,1200.0
4,0.866,0.869,0.863,1200.0
class,f1_score,precision,recall,support
1,0.843,0.845,0.842,1200.0
2,0.821,0.824,0.818,1200.0
3,0.965,0.952,0.978,1200.0
4,0.866,0.874,0.859,1200.0
class,f1_score,precision,recall,support
1,0.855,0.871,0.839,1200.0
2,0.845,0.846,0.843,1200.0
3,0.974,0.966,0.981,1200.0
4,0.87,0.859,0.881,1200.0
class,f1_score,precision,recall,support
1,0.851,0.858,0.845,1200.0
2,0.833,0.845,0.821,1200.0
3,0.967,0.952,0.983,1200.0
4,0.876,0.871,0.881,1200.0
class,f1_score,precision,recall,support
1,0.851,0.858,0.843,1200.0
2,0.825,0.849,0.803,1200.0
3,0.964,0.943,0.985,1200.0
4,0.869,0.858,0.881,1200.0
class,f1_score,precision,recall,support
1,0.854,0.852,0.857,1200.0
2,0.838,0.865,0.813,1200.0
3,0.966,0.95,0.983,1200.0
4,0.863,0.855,0.872,1200.0
