class,f1_score,precision,recall,support
1,0.836,0.838,0.834,1200.0
2,0.816,0.822,0.811,1200.0
3,0.965,0.954,0.976,1200.0
4,0.855,0.858,0.853,1200.0
class,f1_score,precision,recall,support
1,0.841,0.848,0.835,1200.0
2,0.823,0.823,0.823,1200.0
3,0.963,0.961,0.964,1200.0
4,0.867,0.862,0.873,1200.0
class,f1_score,precision,recall,support
1,0.837,0.832,0.843,1200.0
2,0.816,0.844,0.789,1200.0
3,0.966,0.955,0.978,1200.0
4,0.857,0.845,0.868,1200.0
class,f1_score,precision,recall,support
1,0.844,0.853,0.836,1200.0
2,0.825,0.818,0.833,1200.0
3,0.967,0.958,0.977,1200.0
4,0.858,0.866,0.85,1200.0
class,f1_score,precision,recall,support
1,0.839,0.85,0.828,1200.0
2,0.83,0.831,0.829,1200.0
3,0.969,0.963,0.974,1200.0
4,0.862,0.856,0.869,1200.0
class,f1_score,precision,recall,support
1,0.844,0.855,0.834,1200.0
2,0.827,0.848,0.807,1200.0
3,0.964,0.948,0.98,1200.0
4,0.861,0.844,0.877,1200.0
class,f1_score,precision,recall,support
1,0.846,0.839,0.853,1200.0
2,0.821,0.835,0.807,1200.0
3,0.968,0.959,0.978,1200.0
4,0.866,0.868,0.865,1200.0
class,f1_score,precision,recall,support
1,0.857,0.856,0.858,1200.0
2,0.835,0.852,0.818,1200.0
3,0.968,0.956,0.98,1200.0
4,0.864,0.858,0.87,1200.0
class,f1_score,precision,recall,support
1,0.84,0.845,0.834,1200.0
2,0.824,0.846,0.803,1200.0
3,0.97,0.955,0.985,1200.0
4,0.857,0.844,0.871,1200.0
class,f1_score,precision,recall,support
1,0.839,0.857,0.823,1200.0
2,0.823,0.829,0.818,1200.0
3,0.967,0.955,0.978,1200.0
4,0.867,0.855,0.88,1200.0
