class,f1_score,precision,recall,support
1,0.855,0.869,0.843,400.0
2,0.825,0.855,0.797,400.0
3,0.966,0.949,0.983,400.0
4,0.873,0.847,0.9,400.0
class,f1_score,precision,recall,support
1,0.821,0.833,0.81,400.0
2,0.819,0.82,0.818,400.0
3,0.965,0.958,0.973,400.0
4,0.864,0.857,0.87,400.0
class,f1_score,precision,recall,support
1,0.891,0.916,0.868,400.0
2,0.854,0.853,0.855,400.0
3,0.964,0.954,0.975,400.0
4,0.888,0.876,0.9,400.0
class,f1_score,precision,recall,support
1,0.851,0.869,0.833,400.0
2,0.846,0.855,0.838,400.0
3,0.965,0.945,0.985,400.0
4,0.866,0.858,0.875,400.0
class,f1_score,precision,recall,support
1,0.863,0.863,0.863,400.0
2,0.844,0.85,0.838,400.0
3,0.974,0.957,0.993,400.0
4,0.882,0.893,0.873,400.0
class,f1_score,precision,recall,support
1,0.843,0.868,0.82,400.0
2,0.811,0.817,0.805,400.0
3,0.963,0.953,0.973,400.0
4,0.863,0.843,0.885,400.0
class,f1_score,precision,recall,support
1,0.837,0.848,0.825,400.0
2,0.837,0.848,0.825,400.0
3,0.957,0.94,0.975,400.0
4,0.87,0.862,0.877,400.0
class,f1_score,precision,recall,support
1,0.87,0.878,0.863,400.0
2,0.866,0.869,0.863,400.0
3,0.978,0.97,0.985,400.0
4,0.873,0.869,0.877,400.0
class,f1_score,precision,recall,support
1,0.864,0.854,0.875,400.0
2,0.851,0.876,0.828,400.0
3,0.968,0.958,0.978,400.0
4,0.873,0.869,0.877,400.0
