class,f1_score,precision,recall,support
1,0.292,0.711,0.183,349.0
2,0.435,0.35,0.575,400.0
3,0.534,0.534,0.535,400.0
4,0.62,0.62,0.62,400.0
class,f1_score,precision,recall,support
1,0.385,0.676,0.269,349.0
2,0.426,0.366,0.51,400.0
3,0.529,0.526,0.532,400.0
4,0.637,0.603,0.675,400.0
class,f1_score,precision,recall,support
1,0.432,0.628,0.33,349.0
2,0.43,0.372,0.51,400.0
3,0.525,0.531,0.52,400.0
4,0.613,0.594,0.632,400.0
class,f1_score,precision,recall,support
1,0.431,0.655,0.321,349.0
2,0.453,0.384,0.552,400.0
3,0.535,0.564,0.51,400.0
4,0.66,0.63,0.693,400.0
class,f1_score,precision,recall,support
1,0.429,0.661,0.318,349.0
2,0.454,0.382,0.56,400.0
3,0.556,0.571,0.542,400.0
4,0.638,0.627,0.65,400.0
class,f1_score,precision,recall,support
1,0.396,0.746,0.269,349.0
2,0.438,0.375,0.527,400.0
3,0.532,0.559,0.507,400.0
4,0.606,0.547,0.68,400.0
class,f1_score,precision,recall,support
1,0.322,0.735,0.206,349.0
2,0.443,0.36,0.578,400.0
3,0.547,0.58,0.517,400.0
4,0.606,0.571,0.645,400.0
class,f1_score,precision,recall,support
1,0.402,0.676,0.287,349.0
2,0.4,0.369,0.438,400.0
3,0.539,0.543,0.535,400.0
4,0.611,0.535,0.713,400.0
class,f1_score,precision,recall,support
1,0.308,0.543,0.215,349.0
2,0.39,0.337,0.463,400.0
3,0.527,0.55,0.505,400.0
4,0.552,0.499,0.618,400.0
class,f1_score,precision,recall,support
1,0.448,0.686,0.332,349.0
2,0.406,0.348,0.487,400.0
3,0.536,0.558,0.515,400.0
4,0.624,0.589,0.662,400.0
class,f1_score,precision,recall,support
1,0.336,0.653,0.226,349.0
2,0.414,0.356,0.495,400.0
3,0.552,0.589,0.52,400.0
4,0.638,0.565,0.733,400.0
class,f1_score,precision,recall,support
1,0.393,0.625,0.287,349.0
2,0.453,0.385,0.55,400.0
3,0.54,0.573,0.51,400.0
4,0.604,0.564,0.65,400.0
class,f1_score,precision,recall,support
1,0.36,0.712,0.241,349.0
2,0.423,0.403,0.445,400.0
3,0.556,0.611,0.51,400.0
4,0.588,0.473,0.775,400.0
class,f1_score,precision,recall,support
1,0.373,0.655,0.261,349.0
2,0.456,0.385,0.56,400.0
3,0.55,0.579,0.525,400.0
4,0.61,0.568,0.66,400.0
class,f1_score,precision,recall,support
1,0.334,0.637,0.226,349.0
2,0.453,0.36,0.613,400.0
3,0.535,0.576,0.5,400.0
4,0.62,0.622,0.618,400.0
class,f1_score,precision,recall,support
1,0.385,0.66,0.272,349.0
2,0.457,0.403,0.527,400.0
3,0.545,0.559,0.532,400.0
4,0.642,0.578,0.723,400.0
class,f1_score,precision,recall,support
1,0.317,0.513,0.229,349.0
2,0.393,0.333,0.48,400.0
3,0.504,0.53,0.48,400.0
4,0.571,0.537,0.61,400.0
class,f1_score,precision,recall,support
1,0.339,0.607,0.235,349.0
2,0.441,0.346,0.61,400.0
3,0.525,0.569,0.487,400.0
4,0.601,0.63,0.575,400.0
class,f1_score,precision,recall,support
1,0.47,0.674,0.361,349.0
2,0.443,0.37,0.552,400.0
3,0.524,0.531,0.517,400.0
4,0.63,0.651,0.61,400.0
class,f1_score,precision,recall,support
1,0.36,0.61,0.255,349.0
2,0.43,0.365,0.525,400.0
3,0.542,0.569,0.517,400.0
4,0.586,0.546,0.632,400.0
class,f1_score,precision,recall,support
1,0.416,0.743,0.289,349.0
2,0.426,0.351,0.54,400.0
3,0.536,0.516,0.557,400.0
4,0.608,0.637,0.583,400.0
class,f1_score,precision,recall,support
1,0.423,0.619,0.321,349.0
2,0.443,0.375,0.542,400.0
3,0.501,0.498,0.505,400.0
4,0.626,0.64,0.613,400.0
class,f1_score,precision,recall,support
1,0.395,0.667,0.281,349.0
2,0.368,0.34,0.403,400.0
3,0.512,0.539,0.487,400.0
4,0.565,0.482,0.682,400.0
class,f1_score,precision,recall,support
1,0.428,0.653,0.318,349.0
2,0.422,0.365,0.5,400.0
3,0.536,0.528,0.545,400.0
4,0.592,0.579,0.605,400.0
class,f1_score,precision,recall,support
1,0.422,0.705,0.301,349.0
2,0.391,0.338,0.465,400.0
3,0.542,0.495,0.6,400.0
4,0.597,0.626,0.57,400.0
class,f1_score,precision,recall,support
1,0.431,0.741,0.304,349.0
2,0.43,0.369,0.515,400.0
3,0.556,0.549,0.562,400.0
4,0.626,0.6,0.655,400.0
class,f1_score,precision,recall,support
1,0.344,0.718,0.226,349.0
2,0.436,0.343,0.598,400.0
3,0.529,0.579,0.487,400.0
4,0.566,0.563,0.57,400.0
class,f1_score,precision,recall,support
1,0.373,0.655,0.261,349.0
2,0.375,0.326,0.443,400.0
3,0.502,0.517,0.487,400.0
4,0.542,0.492,0.603,400.0
class,f1_score,precision,recall,support
1,0.376,0.763,0.249,349.0
2,0.441,0.363,0.56,400.0
3,0.562,0.566,0.557,400.0
4,0.646,0.627,0.665,400.0
class,f1_score,precision,recall,support
1,0.389,0.721,0.266,349.0
2,0.411,0.35,0.497,400.0
3,0.538,0.517,0.56,400.0
4,0.557,0.544,0.57,400.0
class,f1_score,precision,recall,support
1,0.44,0.712,0.318,349.0
2,0.427,0.347,0.555,400.0
3,0.545,0.548,0.542,400.0
4,0.6,0.636,0.568,400.0
class,f1_score,precision,recall,support
1,0.424,0.675,0.309,349.0
2,0.4,0.34,0.485,400.0
3,0.546,0.533,0.56,400.0
4,0.632,0.633,0.63,400.0
class,f1_score,precision,recall,support
1,0.47,0.693,0.355,349.0
2,0.433,0.359,0.545,400.0
3,0.513,0.529,0.497,400.0
4,0.603,0.614,0.593,400.0
class,f1_score,precision,recall,support
1,0.451,0.678,0.338,349.0
2,0.429,0.373,0.505,400.0
3,0.549,0.561,0.537,400.0
4,0.651,0.614,0.693,400.0
class,f1_score,precision,recall,support
1,0.408,0.675,0.292,349.0
2,0.424,0.358,0.52,400.0
3,0.559,0.579,0.54,400.0
4,0.607,0.577,0.64,400.0
class,f1_score,precision,recall,support
1,0.369,0.664,0.255,349.0
2,0.418,0.361,0.495,400.0
3,0.557,0.564,0.55,400.0
4,0.604,0.556,0.662,400.0
class,f1_score,precision,recall,support
1,0.435,0.661,0.324,349.0
2,0.433,0.367,0.527,400.0
3,0.54,0.546,0.535,400.0
4,0.619,0.611,0.627,400.0
class,f1_score,precision,recall,support
1,0.397,0.775,0.266,349.0
2,0.432,0.359,0.54,400.0
3,0.548,0.618,0.492,400.0
4,0.616,0.55,0.7,400.0
class,f1_score,precision,recall,support
1,0.405,0.726,0.281,349.0
2,0.437,0.369,0.535,400.0
3,0.561,0.619,0.512,400.0
4,0.614,0.551,0.693,400.0
class,f1_score,precision,recall,support
1,0.421,0.632,0.315,349.0
2,0.368,0.338,0.405,400.0
3,0.518,0.565,0.477,400.0
4,0.571,0.49,0.682,400.0
class,f1_score,precision,recall,support
1,0.379,0.676,0.264,349.0
2,0.418,0.361,0.497,400.0
3,0.555,0.596,0.52,400.0
4,0.61,0.543,0.695,400.0
class,f1_score,precision,recall,support
1,0.314,0.661,0.206,349.0
2,0.414,0.342,0.525,400.0
3,0.539,0.562,0.517,400.0
4,0.58,0.544,0.623,400.0
class,f1_score,precision,recall,support
1,0.363,0.612,0.258,349.0
2,0.448,0.372,0.565,400.0
3,0.544,0.566,0.522,400.0
4,0.64,0.621,0.66,400.0
class,f1_score,precision,recall,support
1,0.322,0.641,0.215,349.0
2,0.377,0.332,0.435,400.0
3,0.53,0.55,0.512,400.0
4,0.563,0.492,0.657,400.0
class,f1_score,precision,recall,support
1,0.405,0.707,0.284,349.0
2,0.433,0.371,0.52,400.0
3,0.576,0.602,0.552,400.0
4,0.624,0.571,0.688,400.0
class,f1_score,precision,recall,support
1,0.29,0.657,0.186,349.0
2,0.43,0.336,0.595,400.0
3,0.554,0.542,0.568,400.0
4,0.515,0.576,0.465,400.0
class,f1_score,precision,recall,support
1,0.331,0.721,0.215,349.0
2,0.416,0.348,0.517,400.0
3,0.501,0.549,0.46,400.0
4,0.522,0.464,0.598,400.0
class,f1_score,precision,recall,support
1,0.39,0.586,0.292,349.0
2,0.423,0.374,0.487,400.0
3,0.498,0.455,0.55,400.0
4,0.595,0.619,0.573,400.0
class,f1_score,precision,recall,support
1,0.351,0.651,0.241,349.0
2,0.428,0.35,0.552,400.0
3,0.545,0.528,0.562,400.0
4,0.585,0.616,0.557,400.0
class,f1_score,precision,recall,support
1,0.333,0.681,0.221,349.0
2,0.425,0.362,0.515,400.0
3,0.553,0.604,0.51,400.0
4,0.596,0.524,0.693,400.0
class,f1_score,precision,recall,support
1,0.417,0.729,0.292,349.0
2,0.422,0.353,0.525,400.0
3,0.571,0.56,0.583,400.0
4,0.657,0.658,0.655,400.0
class,f1_score,precision,recall,support
1,0.407,0.717,0.284,349.0
2,0.41,0.352,0.492,400.0
3,0.537,0.537,0.537,400.0
4,0.583,0.55,0.62,400.0
class,f1_score,precision,recall,support
1,0.389,0.789,0.258,349.0
2,0.421,0.358,0.51,400.0
3,0.535,0.564,0.51,400.0
4,0.58,0.521,0.655,400.0
class,f1_score,precision,recall,support
1,0.41,0.685,0.292,349.0
2,0.44,0.371,0.54,400.0
3,0.551,0.537,0.565,400.0
4,0.655,0.657,0.652,400.0
class,f1_score,precision,recall,support
1,0.444,0.695,0.327,349.0
2,0.439,0.375,0.527,400.0
3,0.566,0.56,0.573,400.0
4,0.673,0.662,0.685,400.0
class,f1_score,precision,recall,support
1,0.444,0.695,0.327,349.0
2,0.433,0.368,0.525,400.0
3,0.547,0.539,0.555,400.0
4,0.638,0.637,0.64,400.0
class,f1_score,precision,recall,support
1,0.344,0.75,0.223,349.0
2,0.44,0.36,0.565,400.0
3,0.601,0.6,0.603,400.0
4,0.631,0.619,0.642,400.0
class,f1_score,precision,recall,support
1,0.43,0.706,0.309,349.0
2,0.435,0.361,0.547,400.0
3,0.526,0.528,0.525,400.0
4,0.631,0.638,0.625,400.0
class,f1_score,precision,recall,support
1,0.387,0.653,0.275,349.0
2,0.403,0.354,0.468,400.0
3,0.541,0.534,0.547,400.0
4,0.581,0.541,0.627,400.0
class,f1_score,precision,recall,support
1,0.352,0.675,0.238,349.0
2,0.426,0.349,0.547,400.0
3,0.553,0.542,0.565,400.0
4,0.617,0.633,0.603,400.0
class,f1_score,precision,recall,support
1,0.336,0.738,0.218,349.0
2,0.439,0.353,0.58,400.0
3,0.536,0.528,0.545,400.0
4,0.626,0.646,0.608,400.0
class,f1_score,precision,recall,support
1,0.38,0.664,0.266,349.0
2,0.431,0.357,0.542,400.0
3,0.538,0.553,0.525,400.0
4,0.621,0.606,0.637,400.0
class,f1_score,precision,recall,support
1,0.418,0.63,0.312,349.0
2,0.436,0.375,0.522,400.0
3,0.524,0.511,0.537,400.0
4,0.635,0.637,0.632,400.0
class,f1_score,precision,recall,support
1,0.29,0.741,0.181,349.0
2,0.39,0.345,0.45,400.0
3,0.563,0.607,0.525,400.0
4,0.574,0.48,0.715,400.0
class,f1_score,precision,recall,support
1,0.405,0.673,0.289,349.0
2,0.368,0.345,0.395,400.0
3,0.516,0.538,0.495,400.0
4,0.569,0.483,0.693,400.0
class,f1_score,precision,recall,support
1,0.416,0.689,0.298,349.0
2,0.405,0.344,0.492,400.0
3,0.552,0.551,0.552,400.0
4,0.595,0.578,0.613,400.0
class,f1_score,precision,recall,support
1,0.324,0.716,0.209,349.0
2,0.435,0.363,0.542,400.0
3,0.543,0.552,0.535,400.0
4,0.595,0.555,0.64,400.0
class,f1_score,precision,recall,support
1,0.423,0.783,0.289,349.0
2,0.449,0.364,0.588,400.0
3,0.557,0.578,0.537,400.0
4,0.626,0.624,0.627,400.0
class,f1_score,precision,recall,support
1,0.425,0.665,0.312,349.0
2,0.418,0.364,0.49,400.0
