class,f1_score,precision,recall,support
1,0.387,0.666,0.273,3490.0
2,0.428,0.364,0.52,4000.0
3,0.536,0.551,0.522,4000.0
4,0.616,0.578,0.659,4000.0
class,f1_score,precision,recall,support
1,0.368,0.633,0.259,3490.0
2,0.437,0.369,0.536,4000.0
3,0.537,0.568,0.51,4000.0
4,0.609,0.566,0.658,4000.0
class,f1_score,precision,recall,support
1,0.401,0.693,0.282,3490.0
2,0.415,0.352,0.506,4000.0
3,0.532,0.529,0.535,4000.0
4,0.591,0.573,0.612,4000.0
class,f1_score,precision,recall,support
1,0.423,0.686,0.305,3490.0
2,0.421,0.357,0.511,4000.0
3,0.544,0.564,0.524,4000.0
4,0.611,0.578,0.649,4000.0
class,f1_score,precision,recall,support
1,0.349,0.655,0.238,3490.0
2,0.422,0.354,0.521,4000.0
3,0.539,0.551,0.527,4000.0
4,0.583,0.55,0.621,4000.0
class,f1_score,precision,recall,support
1,0.404,0.706,0.283,3490.0
2,0.427,0.36,0.525,4000.0
3,0.553,0.55,0.556,4000.0
4,0.624,0.608,0.64,4000.0
class,f1_score,precision,recall,support
1,0.383,0.696,0.264,3490.0
2,0.422,0.357,0.517,4000.0
3,0.541,0.552,0.53,4000.0
4,0.604,0.569,0.642,4000.0
class,f1_score,precision,recall,support
1,0.413,0.734,0.287,3490.0
2,0.423,0.362,0.51,4000.0
3,0.556,0.555,0.556,4000.0
4,0.612,0.58,0.648,4000.0
class,f1_score,precision,recall,support
1,0.397,0.69,0.279,3490.0
2,0.42,0.365,0.496,4000.0
3,0.534,0.552,0.518,4000.0
4,0.594,0.541,0.66,4000.0
class,f1_score,precision,recall,support
1,0.389,0.705,0.268,3490.0
2,0.417,0.345,0.526,4000.0
3,0.539,0.541,0.538,4000.0
4,0.611,0.604,0.618,4000.0
